course,section,class_number,instructor,days,time,modality,room,status,credits,result_category,time_filter_status,warnings
MATH 10400,02-LEC Regular,6052,TBA,TuTh,5:30PM - 6:45PM,In Person,North Bldg 306,Open,3.0,matched,match,
MATH 10500,01-LEC Regular,6051,TBA,TuTh,4:00PM - 5:15PM,In Person,North Bldg 306,Open,3.0,matched,match,
MATH 12400,01-LEC Regular,5394,TBA,MoWe,11:00AM - 12:50PM,In Person,West Bldg W511,Open,4.0,matched,match,
MATH 12550,04-LEC Regular,5268,TBA,MoWe,11:00AM - 12:50PM,In Person,North Bldg 321,Open,4.0,matched,match,
MATH 12550,05-LEC Regular,5267,TBA,MoWe,11:00AM - 12:50PM,In Person,West Bldg W609,Open,4.0,matched,match,
MATH 12550,06-LEC Regular,5392,TBA,MoWe,1:00PM - 2:50PM,In Person,West Bldg W411,Open,4.0,matched,match,
MATH 12550,07-LEC Regular,5266,TBA,MoWe,1:00PM - 2:50PM,In Person,North Bldg 321,Open,4.0,matched,match,
MATH 12550,08-LEC Regular,5265,TBA,MoWe,3:00PM - 4:50PM,In Person,North Bldg 321,Open,4.0,matched,match,
MATH 12550,09-LEC Regular,5264,TBA,MoWe,1:00PM - 2:50PM,In Person,West Bldg W609,Open,4.0,matched,match,
MATH 12550,11R1-REC Regular,4217,TBA,Th,1:00PM - 1:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 12550,12-LEC Regular,5261,TBA,TuTh,1:00PM - 2:50PM,In Person,West Bldg W411,Open,4.0,matched,match,
MATH 12550,12R1-REC Regular,4216,TBA,Th,12:00PM - 12:50PM,In Person,North Bldg C004,Open,4.0,matched,match,
MATH 12550,13-LEC Regular,5260,TBA,TuTh,12:00PM - 1:50PM,In Person,West Bldg W406,Open,4.0,matched,match,
MATH 12550,13R1-REC Regular,4215,TBA,Th,2:00PM - 2:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 12550,14-LEC Regular,5259,TBA,MoWe,3:00PM - 4:50PM,In Person,North Bldg C004,Open,4.0,matched,match,
MATH 12550,14R1-REC Regular,4210,TBA,Mo,2:00PM - 2:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 12550,18-LEC Regular,5255,TBA,TuTh,5:00PM - 6:50PM,In Person,North Bldg C004,Open,4.0,matched,match,
MATH 12550,18R1-REC Regular,4212,TBA,Th,7:00PM - 7:50PM,In Person,West Bldg W507,Open,4.0,matched,match,
MATH 12550,19-LEC Regular,5254,TBA,TuTh,5:30PM - 7:20PM,In Person,ThomHunter 407,Open,4.0,matched,match,
MATH 12550,20-LEC Regular,5253,TBA,TuTh,1:00PM - 2:50PM,In Person,North Bldg 321,Open,4.0,matched,match,
MATH 12550,20R1-REC Regular,4200,TBA,We,1:00PM - 1:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 12550,21R1-REC Regular,4206,TBA,Tu,6:30PM - 7:20PM,In Person,North Bldg C109,Open,4.0,matched,match,
MATH 12550,25-LEC Regular,5248,TBA,TuTh,1:00PM - 2:50PM,In Person,North Bldg C004,Open,4.0,matched,match,
MATH 12550,25R1-REC Regular,4227,TBA,Tu,12:00PM - 12:50PM,In Person,North Bldg C004,Open,4.0,matched,match,
MATH 12550,26-LEC Regular,5247,TBA,TuTh,3:00PM - 4:50PM,In Person,West Bldg W411,Open,4.0,matched,match,
MATH 12550,26R1-REC Regular,4228,TBA,Th,2:00PM - 2:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 12550,29R1-REC Regular,4203,TBA,Tu,6:30PM - 7:20PM,In Person,TBA,Open,4.0,matched,match,
MATH 12550,2R01-REC Regular,4209,TBA,Mo,11:00AM - 11:50AM,In Person,West Bldg W214,Open,4.0,matched,match,
MATH 12550,5R01-REC Regular,4221,TBA,Th,1:00PM - 1:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 12550,6R01-REC Regular,4220,TBA,Mo,12:00PM - 12:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 12550,7R01-REC Regular,4219,TBA,Mo,3:00PM - 3:50PM,In Person,West Bldg W411,Open,4.0,matched,match,
MATH 12550,8R01-REC Regular,4218,TBA,Th,2:00PM - 2:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 12550,9R01-REC Regular,4198,TBA,We,12:00PM - 12:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 12550,ECIR-REC Regular,4175,TBA,Th,12:00PM - 12:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 12600,01-LAB Regular,9227,TBA,TBA,TBA,Online Asynchronous,TBA,Open,1.0,matched,match,
MATH 14000,02-LEC Regular,4187,TBA,We,11:00AM - 12:50PM,In Person,TBA,Open,1.0,matched,match,
MATH 14000,03-LEC Regular,4186,TBA,Th,3:00PM - 4:50PM,In Person,North Bldg 321,Open,1.0,matched,match,
MATH 14000,04-LEC Regular,4185,TBA,Th,5:30PM - 7:20PM,In Person,TBA,Open,1.0,matched,match,
MATH 15000,03-LEC Regular,5371,TBA,Mo | We,1:00PM - 2:50PM | 1:00PM - 2:50PM,Hybrid Synchronous,West Bldg W511,Open,4.0,matched,match,
MATH 15000,04-LEC Regular,5370,TBA,We | Mo,1:00PM - 2:50PM | 1:00PM - 2:50PM,Hybrid Synchronous,West Bldg W511,Open,4.0,matched,match,
MATH 15000,05-LEC Regular,5240,TBA,MoWe,11:00AM - 12:50PM,In Person,ThomHunter 407,Open,4.0,matched,match,
MATH 15000,06-LEC Regular,5239,TBA,MoWe,11:00AM - 12:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 15000,07-LEC Regular,5238,TBA,TuTh,1:00PM - 2:50PM,In Person,West Bldg W609,Open,4.0,matched,match,
MATH 15000,08-LEC Regular,5237,TBA,MoWe,3:00PM - 4:50PM,In Person,West Bldg W609,Open,4.0,matched,match,
MATH 15000,11-LEC Regular,5235,TBA,TuTh,5:30PM - 7:20PM,In Person,West Bldg W609,Open,4.0,matched,match,
MATH 15000,HC1-LEC Regular,5230,TBA,MoWe,11:00AM - 12:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 15400,01-LEC Regular,8930,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,1.0,matched,match,
MATH 15500,03-LEC Regular,5228,TBA,MoWe,1:00PM - 2:50PM,In Person,ThomHunter 407,Open,4.0,matched,match,
MATH 15500,07-LEC Regular,5224,TBA,TuTh,5:30PM - 7:20PM,In Person,TBA,Open,4.0,matched,match,
MATH 15600,01-LEC Regular,5223,TBA,We,11:00AM - 12:50PM,In Person,TBA,Open,1.0,matched,match,
MATH 15600,02-LEC Regular,5222,TBA,Th,3:00PM - 4:50PM,In Person,North Bldg C004,Open,1.0,matched,match,
MATH 15600,04-LEC Regular,5221,TBA,Th,5:30PM - 7:20PM,Online Synchronous,Online-Synchronous,Open,1.0,matched,match,
MATH 16000,01-LEC Regular,5219,TBA,MoWe,11:30AM - 12:45PM,In Person,TBA,Open,3.0,matched,match,
MATH 16000,02-LEC Regular,5218,TBA,MoWe,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
MATH 16000,03-LEC Regular,5217,TBA,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
MATH 16000,04-LEC Regular,5216,TBA,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
MATH 16000,07-LEC Regular,5213,TBA,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
MATH 25000,01-LEC Regular,5292,TBA,MoWe,11:00AM - 12:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 25000,02-LEC Regular,5291,TBA,MoWe,1:00PM - 2:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 25400,01-LEC Regular,5361,TBA,MoWe,11:30AM - 12:45PM,In Person,West Bldg W411,Open,3.0,matched,match,
MATH 25500,01-LEC Regular,5211,TBA,MoWe,4:00PM - 5:15PM,In Person,West Bldg W406,Open,3.0,matched,match,
MATH 26000,01-LEC Regular,5210,TBA,MoWe,1:00PM - 2:50PM,In Person,TBA,Open,4.0,matched,match,
MATH 26000,02-LEC Regular,5360,TBA,TuTh,5:30PM - 7:20PM,In Person,West Bldg W406,Open,4.0,matched,match,
MATH 30100,01-LEC Regular,5359,TBA,MoWe,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
MATH 31100,01-LEC Regular,53355,TBA,TuTh,5:30PM - 6:45PM,In Person,East Bldg E920,Open,3.0,matched,match,
MATH 33100,01-LEC Regular,5209,TBA,TuTh,4:00PM - 5:15PM,In Person,West Bldg W406,Open,3.0,matched,match,
MATH 38500,01-LEC Regular,9894,TBA,TuTh,5:30PM - 6:45PM,In Person,East Bldg E512,Open,3.0,matched,match,
MATH 39100,01-IND Regular,7775,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
MATH 39200,01-IND Regular,7774,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
MATH 39300,01-IND Regular,7773,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
MATH 39300,02-IND Regular,7772,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
MATH 60100,01-LEC Regular,5422,TBA,MoWe,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
MATH 62100,01-LEC Regular,53357,TBA,TuTh,5:30PM - 6:45PM,In Person,East Bldg E920,Open,3.0,matched,match,
MATH 63000,01-LEC Regular,5208,TBA,MoWe,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
MATH 63400,01-LEC Regular,5358,TBA,TuTh,4:00PM - 5:15PM,In Person,West Bldg W406,Open,3.0,matched,match,
MATH 63500,01-LEC Regular,4860,TBA,Tu,5:30PM - 7:20PM,In Person,East Bldg E921,Open,3.0,matched,match,
MATH 68500,01-LEC Regular,5413,TBA,TuTh,5:30PM - 6:45PM,In Person,East Bldg E512,Open,3.0,matched,match,
MATH 72100,01-LEC Regular,5207,TBA,Tu,5:30PM - 7:20PM,In Person,TBA,Open,3.0,matched,match,
MATH 77200,01-SEM Regular,5357,TBA,Th,4:00PM - 5:15PM,In Person,East Bldg E922,Open,3.0,matched,match,
MATH 77300,01-IND Regular,7771,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
MATH 77400,01-IND Regular,7770,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
MATH 77500,01-IND Regular,7768,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
MATH 77600,01-IND Regular,7766,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
MATH 77700,01-IND Regular,7762,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
MATH 77700,02-IND Regular,7760,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
MATH 77700,03-IND Regular,7758,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
MATH 77700,04-IND Regular,7756,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
MATH 77700,05-IND Regular,7753,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
MATH 77700,06-IND Regular,7752,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
MATH 77800,01-IND Regular,7750,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
MATH 78500,01-LEC Regular,5353,TBA,Th,5:30PM - 7:20PM,In Person,East Bldg E921,Open,3.0,matched,match,
MATH 79562,01-LEC Regular,4486,Felisa Vazquez-Abad,Tu,4:15PM - 6:15PM,In Person,Off Campus GC01,Open,3.0,matched,match,
STAT 11300,02-LEC Regular,6064,TBA,MoWe,10:00AM - 11:15AM,In Person,North Bldg 306,Open,3.0,matched,match,
STAT 11300,03-LEC Regular,6063,TBA,MoWe,10:00AM - 11:15AM,In Person,North Bldg 305,Open,3.0,matched,match,
STAT 11300,04-LEC Regular,6062,TBA,MoWe,11:30AM - 12:45PM,In Person,North Bldg 306,Open,3.0,matched,match,
STAT 11300,05-LEC Regular,6061,TBA,MoWe,11:30AM - 12:45PM,In Person,North Bldg 305,Open,3.0,matched,match,
STAT 11300,06-LEC Regular,6060,TBA,MoWe,1:00PM - 2:15PM,In Person,North Bldg 306,Open,3.0,matched,match,
STAT 11300,07-LEC Regular,6059,TBA,MoWe,1:00PM - 2:15PM,In Person,North Bldg 305,Open,3.0,matched,match,
STAT 11300,08-LEC Regular,6058,TBA,MoWe,2:30PM - 3:45PM,In Person,North Bldg 306,Open,3.0,matched,match,
STAT 11300,09-LEC Regular,6057,TBA,MoWe,2:30PM - 3:45PM,In Person,North Bldg 305,Open,3.0,matched,match,
STAT 11300,15-LEC Regular,5978,TBA,TuTh,1:00PM - 2:15PM,In Person,North Bldg 306,Open,3.0,matched,match,
STAT 11300,16-LEC Regular,5977,TBA,TuTh,1:00PM - 2:15PM,In Person,North Bldg 305,Open,3.0,matched,match,
STAT 11300,17-LEC Regular,6055,TBA,MoWe,4:00PM - 5:15PM,In Person,North Bldg 306,Open,3.0,matched,match,
STAT 11300,24-LEC Regular,9047,TBA,TuTh,5:30PM - 6:45PM,Online Synchronous,Online-Synchronous,Open,3.0,matched,match,
STAT 11300,26-LEC Regular,6194,TBA,TuTh,4:00PM - 5:15PM,Online Synchronous,Online-Synchronous,Open,3.0,matched,match,
STAT 11300,27-LEC Regular,6207,TBA,MoWe,11:30AM - 12:45PM,Online Synchronous,Online-Synchronous,Open,3.0,matched,match,
STAT 11300,28-LEC Regular,6206,TBA,MoWe,4:00PM - 5:15PM,Online Synchronous,Online-Synchronous,Open,3.0,matched,match,
STAT 11300,30-LEC Regular,6204,TBA,TuTh,5:30PM - 6:45PM,Online Synchronous,Online-Synchronous,Open,3.0,matched,match,
STAT 11300,32-LEC Regular,6054,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
STAT 11300,33-LEC Regular,6200,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
STAT 11300,34-LEC Regular,6199,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
STAT 11300,35-LEC Regular,6201,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
STAT 11300,36-LEC Regular,6202,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
STAT 11300,37-LEC Regular,6203,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
STAT 11300,38-LEC Regular,6198,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
STAT 21200,01-LEC Regular,5856,TBA,MoWe,1:00PM - 2:15PM,In Person,East Bldg E921,Open,3.0,matched,match,
STAT 21300,03-LEC Regular,5204,TBA,MoWe,11:30AM - 12:45PM,In Person,TBA,Open,3.0,matched,match,
STAT 21300,04-LEC Regular,5203,TBA,MoWe,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
STAT 21300,05-LEC Regular,5202,TBA,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
STAT 21300,12-LEC Regular,6032,TBA,MoWe,10:00AM - 11:15AM,In Person,West Bldg W411,Open,3.0,matched,match,
STAT 21300,16-LEC Regular,6028,TBA,TuTh,5:30PM - 6:45PM,In Person,West Bldg W411,Open,3.0,matched,match,
STAT 21300,HC1-LEC Regular,6027,TBA,MoWe,4:00PM - 5:15PM,In Person,West Bldg W411,Open,3.0,matched,match,
STAT 21350,01-LEC Regular,6020,TBA,TuTh,4:00PM - 5:15PM,In Person,North Bldg 305,Open,3.0,matched,match,
STAT 21400,01-LEC Regular,6021,TBA,MoWe,4:00PM - 5:15PM,In Person,North Bldg 305,Open,3.0,matched,match,
STAT 22000,01-LEC Regular,9049,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
STAT 29554,01-LEC Regular,4194,TBA,TBA,TBA,Online Asynchronous,Online-Synchronous,Open,3.0,matched,match,
STAT 31900,01-LEC Regular,5200,TBA,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
STAT 39100,01-IND Regular,7741,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
STAT 39200,01-IND Regular,7740,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
STAT 39300,01-IND Regular,7739,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 39300,02-IND Regular,7738,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 39300,03-IND Regular,7737,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 39300,04-IND Regular,7736,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 72200,01-LEC Regular,9875,TBA,Tu,5:30PM - 7:20PM,In Person,TBA,Open,3.0,matched,match,
STAT 73900,01-LEC Regular,5198,TBA,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
STAT 79000,01-SEM Regular,7735,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,02-SEM Regular,7734,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,03-SEM Regular,7733,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,04-SEM Regular,7732,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,05-SEM Regular,7731,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,06-SEM Regular,7730,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,07-SEM Regular,7729,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,08-SEM Regular,7728,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,09-SEM Regular,7726,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,10-SEM Regular,7724,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,11-SEM Regular,7723,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79000,12-SEM Regular,7722,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79100,01-IND Regular,7721,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
STAT 79100,02-IND Regular,7720,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
STAT 79100,03-IND Regular,7719,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
STAT 79100,04-IND Regular,7718,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
STAT 79200,01-IND Regular,7717,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
STAT 79200,02-IND Regular,7716,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
STAT 79200,03-IND Regular,7715,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
STAT 79200,04-IND Regular,7714,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
STAT 79300,01-IND Regular,7713,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79300,02-IND Regular,7711,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79300,03-IND Regular,7710,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79300,04-IND Regular,7709,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79300,05-IND Regular,7708,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
STAT 79300,06-IND Regular,7707,TBA,TBA,TBA,Online Synchronous,TBA,Open,3.0,tba_review,tba,
